variety,season,release_year,duration_days_min,duration_days_max,yield_t_ha_min,yield_t_ha_max,plant_height_cm,seedbed_sowing,seedling_age_days,harvest,salt_tolerant,salt_tolerance_ds_m,submergence_tolerant,drought_tolerant,cold_tolerant,aromatic,zinc_mg_kg,notes,source,source_file,url
BR10,Aman,1980,150,150,6.5,6.5,115,15 Jun-15 Jul,30-40,5 Nov-5 Dec,False,,False,False,False,False,,Progoti; photoperiod-sensitive late Aman; 40-50 day seedlings go into knee-deep water (southern lowlands),read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Aman__Factsheet31-BR10.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet31-BR10.pdf
BR12,Boro,1983,170,170,5.5,5.5,105,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Moyna; medium-bold white grain; transplant 1-15 Poush,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf
BR12,Aus,1983,130,130,4.5,4.5,105,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Moyna,read from scanned factsheet,wp_content_uploads_2014_04__BR12.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR12.pdf
BR15,Boro,1983,170,170,5.5,5.5,90,30 Oct-14 Nov,45-50,18 Apr-3 May,False,,False,False,False,False,,Mohini; medium-bold white grain,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf
BR15,Aus,1983,130,130,4.5,4.5,100,29 Mar-3 Apr (as printed; 15-30 Chaitra),20-30,4-20 Aug,False,,False,False,False,False,,Mohini,read from scanned factsheet,wp_content_uploads_2014_04__BR15.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BR15.pdf
BRRI hybrid dhan1,Boro,2001,155,160,7.5,8.5,,15 Nov-15 Dec,30-35,20-30 Apr,False,,False,False,False,False,,"hybrid, approved for Barishal and Jashore regions; medium-fine grain; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_04__BRRIHybriddhan1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIHybriddhan1.pdf
BRRI hybrid dhan5,Boro,2016,144,144,8.5,9.0,110,15 Nov-15 Dec,30-35,,False,,False,False,False,False,,hybrid; height 105-110 cm; long slender grain; lodging resistant; transplant 15 Dec-15 Jan,read from scanned factsheet,wp_content_uploads_2015_02__BRRI_hybridDhan5.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI hybridDhan5.pdf
BRRI hybrid dhan6,Aman,,110,115,6.0,6.5,110,5-15 Jul,25-30,30 Oct-10 Nov,False,,False,False,False,False,,"hybrid; short duration; height 105-110 cm; released for Dhaka, Chattogram and Jashore regions; transplant 30 Jul-10 Aug",read from scanned factsheet,wp_content_uploads_2015_02__brrid-hybrid-dhan6.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brrid-hybrid-dhan6.pdf
BRRI hybrid dhan7,Aus,2020,105,110,6.5,7.0,105,18-30 Apr,25-30,14 Aug-8 Sep,False,,False,False,False,False,,"first hybrid for transplanted Aus; released for Chattogram, Rangpur and Khulna regions; height 101-105 cm",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-Hybrid-Dhan7.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-Hybrid-Dhan7.pdf
BRRI hybrid dhan8,Boro,2022,145,148,10.5,11.0,115,15 Nov-15 Dec,25-30,,False,,False,False,False,False,,"hybrid; short-duration high-yield Boro; released for Dhaka, Chattogram and Rangpur regions; height 110-115 cm; transplant 15 Dec-15 Jan",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-HY-dhan8.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-HY-dhan8.pdf
BRRI hybrid dhan9,Boro,,145,147,9.5,10.5,,,,,True,8,False,False,False,False,,first salt-tolerant hybrid: 4-8 dS/m seedling to maturity; 6.5-7 t/ha on the coast; stays green at maturity; lodging resistant; approved at the 115th National Seed Board meeting,read from scanned factsheet,wp_content_uploads_2026_03__BRRI-hybrid-dhan9.pdf,https://knowledgebank-brri.org/wp-content/uploads/2026/03/BRRI-hybrid-dhan9.pdf
BRRI hybrid dhan10,Boro,,145,147,9.7,10.7,,,,,True,8,False,False,False,False,,salt-tolerant hybrid: 4-8 dS/m seedling to maturity; 6.5-7 t/ha on the coast; fine grain; approved at the 115th National Seed Board meeting,read from scanned factsheet,wp_content_uploads_2026_03__BRRI-hybrid-dhan10.pdf,https://knowledgebank-brri.org/wp-content/uploads/2026/03/BRRI-hybrid-dhan10.pdf
BR21,Aus,1986,110,110,3.0,3.0,100,24 Mar-23 Apr (direct seeded),,4 Jul-4 Aug,False,,False,False,False,False,,"Niamat; direct-seeded (bona) Aus for high-rainfall Sylhet, Chattogram, Cumilla, Noakhali, Mymensingh; medium-bold grain",read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan21.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan21.pdf
BR24,Aus,1992,105,105,3.5,3.5,105,24 Mar-23 Apr (direct seeded),,4 Jul-4 Aug,False,,False,False,False,False,,Rahmat; direct-seeded Aus for high-rainfall areas; long fine grain; strong stem,read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan24-1.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan24-1.pdf
BR26,Aus,1993,115,115,4.0,4.0,115,18-30 Apr,20-25,14 Aug-4 Sep,False,,False,False,False,False,,Sraboni; transplanted Aus; early; long fine Balam-like grain,read from scanned factsheet,wp_content_uploads_2014_04__BRRIdhan26.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRIdhan26.pdf
BRRI dhan35,Boro,1998,155,155,5.0,5.0,105,4-19 Nov,40-45,14-28 Apr,False,,False,False,False,False,,short bold grain; resistant to brown planthopper,read from scanned factsheet,wp_content_uploads_2014_04__BRRI-dhan35.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/04/BRRI-dhan35.pdf
BRRI dhan39,Aman,1999,120,120,4.5,4.5,106,1st week Jul,20-25,5-10 Nov,False,,False,False,False,False,,short duration; long slender export-quality grain; leaves time for a timely Rabi crop or dhaincha green manure; tolerant to tungro and sheath blight,read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Aman__Factsheet43-BR39.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Aman/Factsheet43-BR39.pdf
BRRI dhan47,Boro,2006,152,152,6.0,6.0,105,15-30 Nov,35-40,1-15 Apr,True,14,False,False,False,False,,"salt tolerant: 12-14 dS/m at seedling, 6 dS/m at maturity; 6.0 t/ha under salinity; for the coastal belt",read from scanned factsheet,tion_Training_Manual_Day_1_Module_2_Boro__Factsheet12-BRRI_Dhan47.pdf,https://knowledgebank-brri.org/Rice_Production_Training_Manual/Day_1/Module_2/Boro/Factsheet12-BRRI%20Dhan47.pdf
BRRI dhan63,Boro,2014,148,150,6.5,7.0,,15 Nov-15 Dec,35-40,13 Apr-25 May,False,,False,False,False,False,,"premium export quality (Saru Balam), basmati-like long slender grain; 5-7 days earlier than BRRI dhan50",read from scanned factsheet,wp_content_uploads_2014_10__BRRI-Dhan63.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/10/BRRI-Dhan63.pdf
BRRI dhan64,Boro,2014,150,152,6.0,6.5,110,15-30 Nov,35-40,14 Apr-14 May,False,,False,False,False,False,24,zinc-enriched (24 mg/kg); up to 7.0 t/ha with good care,read from scanned factsheet,wp_content_uploads_2014_10__BRRI-Dhan64.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/10/BRRI-Dhan64.pdf
BRRI dhan65,Aus,,88,100,3.5,4.0,95,Apr (direct seeded),,Jul,False,,False,True,False,False,,drought-tolerant direct-seeded (bona) Aus for drought-prone areas; height 90-95 cm; strong stem,read from scanned factsheet,wp_content_uploads_2014_02__BRRIDhan-65.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRIDhan-65.pdf
BRRI dhan66,Aman,2014,110,115,4.5,5.0,120,29 Jun-14 Jul,25-30,25 Oct-10 Nov,False,,False,True,False,False,,drought-tolerant rainfed T.Aman: 15-20 dry days at reproductive stage still gives 4.0-4.5 t/ha; height 118-120 cm,read from scanned factsheet,wp_content_uploads_2015_02__BRRI-Dhan66.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI-Dhan66.pdf
BRRI dhan67,Boro,2014,140,150,3.8,7.4,100,15 Nov-15 Dec,35-40,14-28 Apr,True,14,False,False,False,False,,"salt tolerant: 12-14 dS/m for 3 weeks at seedling, 8 dS/m through reproductive stage; yield depends on salinity",read from scanned factsheet,wp_content_uploads_2015_02__brridhan-67.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-67.pdf
BRRI dhan68,Boro,2014,149,149,7.3,7.3,95,15-30 Nov,35-40,14-28 Apr,False,,False,False,False,False,,"up to 9.2 t/ha; 4-5 days later than BRRI dhan28; medium-high to high land; resists leaf blight, sheath blight, blast",read from scanned factsheet,wp_content_uploads_2015_02__brridhan-68.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-68.pdf
BRRI dhan69,Boro,2014,145,160,7.3,7.3,100,15 Nov-15 Dec,35-40,14-28 Apr,False,,False,False,False,False,,weed-tolerant rice; needs about 20% less fertiliser; up to 9 t/ha; height 95-100 cm,read from scanned factsheet,wp_content_uploads_2015_02__brridhan-69.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan-69.pdf
BRRI dhan70,Aman,2014,130,130,4.8,4.8,125,29 Jun-15 Jul,25-30,10-15 Nov,False,,False,False,False,True,,aromatic long slender export-quality grain; 10-15 days shorter than BRRI dhan37; leaves time for Rabi crops; rainfed T.Aman,read from scanned factsheet,wp_content_uploads_2015_02__brridhan70.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan70.pdf
BRRI dhan71,Aman,2014,114,117,5.0,6.0,108,5-15 Jul,20-25,1-15 Nov,False,,False,True,False,False,,"drought tolerant: 21-28 rainless days at reproductive stage still gives 3.0-3.5 t/ha; rainfed; lentil, chickpea, barley or linseed can follow",read from scanned factsheet,wp_content_uploads_2015_02__brridhan71.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan71.pdf
BRRI dhan72,Aman,2014,125,130,5.7,7.5,116,25 Jun-5 Jul,20-25,1-30 Nov,False,,False,False,False,False,22.8,"zinc-enriched (22.8 mg/kg), protein 8.9%; strong stem; wheat, mustard or pulses can follow",read from scanned factsheet,wp_content_uploads_2015_02__brridhan72.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan72.pdf
BRRI dhan73,Aman,2014,120,125,4.5,4.5,125,1-30 Jul,25-30,1-30 Nov,True,12,False,False,False,False,,"salt tolerant: 12 dS/m for 3 weeks at seedling, 8 dS/m through reproductive stage; 2.1-6.1 t/ha depending on salinity; sunflower or salt-tolerant mustard can follow on the coast",read from scanned factsheet,wp_content_uploads_2015_02__brridhan73.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan73.pdf
BRRI dhan75,Aman,,110,115,4.5,5.5,110,21 Jul-20 Aug,21-25,late Oct-mid Nov,False,,False,False,False,False,,"short duration like BRRI dhan33; slightly aromatic; strong stem, no shattering; ~20% less fertiliser; sown by early July it is harvested mid-Kartik, in time for early potato or mustard",read from scanned factsheet,wp_content_uploads_2015_02__BRRIDhan75.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRIDhan75.pdf
BRRI dhan76,Aman,2015,153,153,4.5,5.0,140,1-15 Jul,35-40,2nd week Dec,False,,False,False,False,False,,for tidal wetlands of Barishal: ~60 cm tall seedlings survive tidal water; medium-low land; 3-5 days earlier than BRRI dhan44,read from scanned factsheet,wp_content_uploads_2015_02__BRRIDhan76.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRIDhan76.pdf
BRRI dhan77,Aman,2015,154,154,4.5,5.0,140,1-15 Jul,35-40,1st week Dec,False,,False,False,False,False,,for tidal wetlands of Barishal: ~60 cm seedlings survive tidal water; medium-low land; 3-5 days earlier than BRRI dhan44 with ~0.6 t/ha more,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan_77_5-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan_77_5-7-20.pdf
BRRI dhan78,Aman,2016,135,135,4.5,5.5,120,25 Jun-10 Jul,30-35,last week Nov,True,9,True,False,False,False,,"coastal tidal zone: tolerates 6-9 dS/m at seedling and flowering plus 12-14 days tidal submergence; 4.5-4.7 t/ha at 6-8 dS/m, 5.0-5.5 at 4-5 dS/m",read from scanned factsheet,wp_content_uploads_2015_02__BRRI_Dhan78.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI_Dhan78.pdf
BRRI dhan79,Aman,2017,135,160,4.0,5.5,112,15 Jun-1 Jul,30,,False,,True,False,False,False,,"flash-flood variety: survives 18-21 days submerged plus 15-20 days of 50-60 cm stagnant water; 135 days and 5.5 t/ha without flood, 160 days and 4.0-4.5 t/ha after 3 weeks under water",read from scanned factsheet,wp_content_uploads_2015_02__brridhan79.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/brridhan79.pdf
BRRI dhan80,Aman,2017,130,135,4.5,5.0,120,5-25 Jul,25,15-25 Nov,False,,False,False,False,True,,jasmine-type aromatic export rice; rainfed T.Aman; stronger stem than BRRI dhan37,read from scanned factsheet,wp_content_uploads_2015_02__BRRI_Dhan80.pdf,https://knowledgebank-brri.org/wp-content/uploads/2015/02/BRRI_Dhan80.pdf
BRRI dhan81,Boro,2017,140,145,6.0,6.5,100,15-30 Nov,35-40,8-18 Apr,False,,False,False,False,False,,"premium long slender export grain (Zira alternative), protein 10.3%; up to 8.0 t/ha; short plant also suits low land",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan81.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan81.pdf
BRRI dhan82,Aus,2017,100,105,4.5,5.5,110,1-15 Apr,15-20,18 Jul-2 Aug,False,,False,False,False,False,,short-duration transplanted Aus (NERICA line); leaves room for Aman and saves irrigation water; medium-high to high land,read from scanned factsheet,wp_content_uploads_2018_01__BRRI-dhan82.pdf,https://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan82.pdf
BRRI dhan83,Aus,2017,105,105,4.0,5.3,105,1-21 Apr (direct seeded),,10 Jul-15 Aug,False,,False,True,False,False,,"drought-tolerant direct-seeded (bona) Aus for Kushtia, Jhenaidah, Magura, Chuadanga; does not lodge; red-brown grain like local Kataktara",read from scanned factsheet,wp_content_uploads_2018_01__BRRI-dhan83.pdf,https://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan83.pdf
BRRI dhan85,Aus,2017,108,110,4.5,5.5,110,1-15 Apr,20-25,26 Jul-10 Aug,False,,False,False,False,False,,"transplanted Aus for Cumilla and the east; tolerates waterlogging, so it can go on lower land",read from scanned factsheet,wp_content_uploads_2018_01__BRRI-dhan85.pdf,https://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan85.pdf
BRRI dhan86,Boro,2017,140,145,6.0,6.5,95,15 Nov-7 Dec,35-40,7-20 Apr,False,,False,False,False,False,,"short stiff stem suits combine harvesters; long slender export grain, protein 10.1%; up to 7.8 t/ha",read from scanned factsheet,wp_content_uploads_2018_01__BRRI-dhan86.pdf,https://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan86.pdf
BRRI dhan87,Aman,2018,125,128,6.0,6.5,122,15 Jun-7 Jul,25-30,25 Oct-15 Nov,False,,False,False,False,False,,7 days earlier than BRRI dhan49 with higher yield; long slender grain; rainfed T.Aman,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan87_05-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan87_05-7-20.pdf
BRRI dhan88,Boro,2018,140,143,7.0,8.5,,15-30 Nov,35-40,8-16 Apr,False,,False,False,False,False,,"3-4 days earlier than BRRI dhan28, so it suits haor areas; lodging and shattering resistant (machine harvest)",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan88.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan88.pdf
BRRI dhan89,Boro,2018,154,158,8.0,9.7,106,1-15 Nov,40-45,18 Apr-30 May,False,,False,False,False,False,,replacement for BRRI dhan29: 3-5 days shorter with higher yield; irrigated Boro,read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan89.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan89.pdf
BRRI dhan84,Boro,2017,140,145,6.0,6.5,96,15-30 Nov,35-40,5-20 Apr,False,,False,False,False,False,27.6,zinc (27.6 mg/kg) and iron (10.1 mg/kg) enriched; light red rice; 2-3 days shorter than BRRI dhan28; up to 8.0 t/ha,read from scanned factsheet,wp_content_uploads_2018_01__BRRI-dhan84.pdf,https://knowledgebank-brri.org/wp-content/uploads/2018/01/BRRI-dhan84.pdf
BRRI dhan90,Aman,2019,115,125,4.5,5.0,110,7-20 Jul,20-25,1st-2nd week Nov,False,,False,False,False,True,,aromatic like BRRI dhan34 but 22 days shorter and 1.0-1.4 t/ha more; needs somewhat less urea,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan90_5-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan90_5-7-20.pdf
BRRI dhan91,Aman,2019,152,156,3.0,4.0,190,,,,False,,True,False,False,False,,"first high-yield deepwater (floating) Aman for ~1 m flood-prone low land (greater Cumilla, Faridpur, Manikganj, haor): stem elongation plus moderate submergence tolerance; 3.0-3.5 t/ha in deep water; not photoperiod sensitive; straw for fodder",read from scanned factsheet,wp_content_uploads_2019_07__BRRI-dhan91.pdf, https://knowledgebank-brri.org/wp-content/uploads/2019/07/BRRI-dhan91.pdf
BRRI dhan92,Boro,2019,156,160,8.4,9.3,107,1-15 Nov,40-45,18 Apr-30 May,False,,False,False,False,False,,"same yield as BRRI dhan29 with comparatively less water, so suits drought-prone (water-scarce) Boro areas",read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan92.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan92.pdf
BRRI dhan93,Aman,2019,134,134,5.8,7.25,117,15 Jun-15 Jul,25-30,1 Nov-1 Dec,False,,False,False,False,False,,replacement for Indian Swarna; red-brown grain; same duration as BRRI dhan49; rainfed T.Aman,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan93_01-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan93_01-7-20.pdf
BRRI dhan94,Aman,2019,134,134,5.9,7.4,118,15 Jun-15 Jul,25-30,1 Nov-1 Dec,False,,False,False,False,False,,replacement for Indian Swarna (Ranjit); red-brown grain; same duration as BRRI dhan49,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan94_01-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan94_01-7-20.pdf
BRRI dhan95,Aman,2019,125,125,5.7,6.55,120,25 Jun-25 Jul,25-30,1 Nov-1 Dec,False,,False,False,False,False,,replacement for Indian Swarna; deep red grain; 7 days shorter than BRRI dhan49,read from scanned factsheet,wp_content_uploads_2020_07__BRRI-dhan95_01-7-20.pdf,https://knowledgebank-brri.org/wp-content/uploads/2020/07/BRRI-dhan95_01-7-20.pdf
BRRI dhan96,Boro,2020,140,145,7.0,8.6,87,15 Nov-7 Dec,35-40,7-20 Apr,False,,False,False,False,False,,same duration as BRRI dhan28 with more yield; short stiff stem suits machine harvest; protein 10.8%,read from scanned factsheet,wp_content_uploads_2014_02__brridhan96.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/brridhan96.pdf
BRRI dhan97,Boro,2020,148,155,4.9,7.0,100,15 Nov-15 Dec,35-40,14-28 Apr,True,15,False,False,False,False,,"salt tolerant: 14-15 dS/m at seedling, 8-10 dS/m through reproductive stage; 3.9-5.95 t/ha depending on salinity; do not irrigate with water above 3 dS/m",read from scanned factsheet,wp_content_uploads_2014_02__BRRIdhan97.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRIdhan97.pdf
BRRI dhan98,Aus,2020,112,112,5.1,5.9,106,18-30 Apr,20-25,30 Jul-14 Aug,False,,False,False,False,False,,short-duration transplanted Aus (same duration as BR26); leaves room for Aman afterwards,read from scanned factsheet,wp_content_uploads_2025_11__BRRIdhan98.pdf,https://knowledgebank-brri.org/wp-content/uploads/2025/11/BRRIdhan98.pdf
BRRI dhan99,Boro,2020,148,157,5.4,7.1,94,15 Nov-15 Dec,35-40,14-28 Apr,True,14,False,False,False,False,,"salt tolerant: 14 dS/m at seedling, 8-10 dS/m through reproductive stage; 4.1-6.6 t/ha depending on salinity; more tolerant than BRRI dhan67",read from scanned factsheet,wp_content_uploads_2014_02__BRRIdhan99.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRIdhan99.pdf
BRRI dhan100,Boro,2020,148,148,7.7,8.8,101,15-30 Nov,30-35,13-28 Apr,False,,False,False,False,False,25.7,zinc-enriched (25.7 mg/kg); same duration as BRRI dhan74 with 4.5% more yield; suits almost all Boro districts,read from scanned factsheet,wp_content_uploads_2025_09__brridhan100.pdf,https://knowledgebank-brri.org/wp-content/uploads/2025/09/brridhan100.pdf
BRRI dhan101,Boro,,135,152,7.72,8.99,110,15-21 Nov,35-40,,False,,False,False,False,False,,"first Boro variety resistant to bacterial leaf blight (Xa21, Xa7, Xa4 genes); mean duration 142 days, between BRRI dhan28 and BRRI dhan58",read from scanned factsheet,wp_content_uploads_2014_02__brridhan101.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/brridhan101.pdf
BRRI dhan102,Boro,2022,150,150,8.1,9.6,103,16-30 Nov (haor and low land: 1-7 Nov),35-40,13-28 Apr,False,,False,False,False,False,25.5,"zinc-enriched (25.5 mg/kg, vs 18.2 in BRRI dhan29); 2 days shorter than BRRI dhan29 with higher yield; national release 18 Jan 2022",read from scanned factsheet,wp_content_uploads_2014_02__brridhan102.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/brridhan102.pdf
BRRI dhan103,Aman,2022,128,133,6.2,8.0,125,15 Jun-7 Jul,25-30,25 Oct-15 Nov,False,,False,False,False,False,,same duration as BRRI dhan87; long slender export grain; rainfed T.Aman,read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan103.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan103.pdf
BRRI dhan104,Boro,2022,147,147,7.3,8.7,92,15 Nov-4 Dec,35-40,,False,,False,False,False,True,,BRRI's only aromatic basmati-type variety (7.5 mm grain); ~11% more yield than BRRI dhan50; released 26 Dec 2022,read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan104.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan104.pdf
BRRI dhan105,Boro,2023,148,148,7.6,8.5,101,15 Nov-4 Dec,35-40,28 Apr-8 May,False,,False,False,False,False,,low glycaemic index (GI 55; diabetic rice); ~8% more yield than BRRI dhan58; resistant to bacterial leaf blight; released 2 Mar 2023,read from scanned factsheet,wp_content_uploads_2014_02__BRRI-dhan105.pdf,https://knowledgebank-brri.org/wp-content/uploads/2014/02/BRRI-dhan105.pdf
